"Deep Learning,Convolution Neural Networks,Object Detection Networks,MLP,Digital Image Processing,PCBA Inspection,AOI",Using Machine  Vi Sion and Deep Learning for Automatic Pcb Assembly Inspection (Ii-Ii)
"Deep Learning, Machine Learning, Reinforcement Learning, Robotic Manipulation.",Image-Based Deep Reinforcement Learning for Robotic Manipulation Control
"Deep recommendation model, matrix factorization, latent factors, deep learning, autoencoder, recommender systems",A Study on the Multi-Objective Recommender Systems Based on Deep Learning
"Deep reinforcement learning, Deep learning, Feature matching, Feature descriptor, Feature detector",Feature Detection and Matching with Deep Learning
"haptics, deep learning, scene recognition, immersive virtual environment",Combining Deep Learning Algorithm with Scene Recognition and Haptic Feedback for Cinema
"Deep learning, fast algorithms, reinforcement learning, meta-learning, online display advertisement, real-time bidding","Deep Learning Study: Algorithm Designs for Efficient Learning, Meta-Reinforcement Learning, and Real-Time Bidding Applications"
"Elderly care, deep learning, low-resourced speech recognition, multilingual code-switching speech recognition, empathetic response",Context-Aware Spoken Dialog Technology with Multiparty Interaction and Empathetic Response
"Recommendation System, Latent Topic Model, Matrix Factorization, Aspect Analysis, Deep Learning, Convolutional Neural Network, Generative Adversarial Network",Research on Deep Learning and Generative Adversarial Network Models for Document Recommendation
"patent analysis, cross-lingual topic model, deep learning recommender, cross-regional patent map",To Develop Cross-Regional Patent Mining and Deep Learning Recommender System
"clothing brand and price information retrieval, feature extraction, classification, deep learning, clothing collocation subjective test",Deep Learning Based Clothing Collocation System and Clothing Retrieval System
"Mobil Urban Probe, IoT, Cloud Information System, Deep Learning, GIS Visualization, 3D Interface, Urban Thermal Environment",Analysis of the Urban Heat Island Vertical Structure in a Subtropical Smart City with Deep Learning & Iot
"Machine Learning, Deep Learning, Neural Networks, Low-Power System, Multi-Processor Silicon-on-Chip, Reconfigurable Heterogeneous Systems",A Low-Power Reconfigurable Heterogeneous System for High-Performance Machine Learning Computations
"Heterogeneous Network, Deep learning, B5G Mobile Communication, Fog Computing, Cloud Computing, Cloud Radio Access Networks, Fog Radio Access Networks.",Main Project and Sub-Project 1: Deep Learning Platform for Mobile Network beyond 5g
"deep learning, software engineering, defect prediction, automated program repairing, search-based repair, LSTM, Attention, RNNrepairing, search-based repair, DBN, RNN",A Study on Deep Learning Software Quality Assurance: Deep-Learning Based Software Defect Prediction and Automated Program Repairing
"Distributed Deep Learning computing, hierarchical distributed computation, deep learning model, deep learning applications, OpenCL acceleration for deep learning computation, virtualization, heterogeneous parallel computing, graphics accelerators, FPGA, performance analysis tool, Internet Of Things applications, smart environment, smart medical, smart wearhousing",A Software Framework for Distributed Deep Neural Network Computing
"carpal tunnel syndrome, deep learning, artifical intelligence, dynamic ultrasound imaging, nerve registration",Smart Diagnosis-Assisted System for Median Nerve Entrapment Using Dynamic Sonography
"Deep Learning, Patent, Natural Language Processing, Graph Neural Network, Transfer Learning",Augmented Inventing: Deep Learning for Inventors to Generate New Patents ??
"Deep Learning, Deep Generative Models, Generative Adversarial Networks, Discriminators, Generators.",Improving Stability of the Generative Adversarial Network and Its Applications
"deep learning, neural networks, magnetic resonance, electron paramagnetic resonance, positron emission tomography, compressed sensing, image reconstruction, tissue oxygenation",Development of Deep-Learning Guided Image Reconstruction Methods for Pet/Mr and Pet/Epr Imaging Systems
"boccia, special education, scientific assistive device, intelligent coaching and training system, video processing, deep learning","The Development of a Smart Assistive Technology and Coaching System for Boccia -  Vi Deo Analysis Implementation, Deep Learning Construction, and Field Application among Special Populations"
"Empty Nose Syndrome, Paranasal Sinus, Nasal Cavity Symmetry, Turbinates, Computed Tomography",Correlation between Preoperative and Postoperative Nasal Cavity Symmetry for Empty Nose Syndrome
"Elastic scaling, Distributed computing, Cloud native application, Deep learning, Computing framework, Performance optimization",Elastic Distributed Deep Learning Training Implementations and Optimizations
"Deep learngin, hash functions, image retrieval",Development of Deep Learning Based Hashing Techniques for Image Retrieval
"Smart grid, convolutional neural network, and metaheuristic algorithm.",An Effective Smart Grid Management System Based on Deep Learning and Metaheuristic Algorithm
"B5G, Evolved Packet Core, Artificial Intelligence, Deep Learning, Security Testing, Fuzz Testing, Anomaly Detection",Deep Learning-Based Security Testing and Anomaly Detection for B5g Mobile Networks
"Adaptive Learning, Wearable Devices, Deep Learning Technologies, Big Data Analysis, Adaptive Mobile Learning System.","Establishment, Application and Effect Analysis of the Wearable Guide System Combining Deep Learning Technology with Adaptive Learning Model"
"minimally invasive surgery, artificial intelligence, robotics, automation, image guidance, augmented reality",Deep Learning in Image-Based Positioning and Augmented Reality Guidance for Autonomous Minimally Invasive Surgery
"Deep learning, deep neural network, fMRI, MEG, EEG",Reconstruction of Image and Audio Stimuli from Brain Responses
"Deep Learning, Analysis-Ready, Time-Series, Satellite Image, Spatiotemporal Fusion, Formosat-2",Spectral-Spatio-Temporal Fusion Using Deep Learning Algorithms
"Predictive Maintenance, Industry 4.0, Government Open Data, Machine Learning, Deep Learning, Big Data Analytics","Machine Learning, Deep Learning and Big Data Analytics Based Intelligent Maintenance Model and Real-Time Monitor System"
"ischemic stroke,noncontrast-enhanced CT,MRI,computer-aided diagnosis,deep learning","The Diagnosis, Severity Evaluation, and Prognosis of Hyperacute Ischemic Strokes Based on Deep Learning on Multi-Modality Images"
"Travel Recommendation, Social Media, Data Mining, Sentiment Analysis, Artificial Intelligence, Deep Learning.",Integrating Social Media Data Mining and Deep Learning for Intelligent Travel Recommendation Systems
"Beyond5G (B5G), Interference Avoidance, D2D (Device to Device Communication), Deep Learning, Millimeter Wave, Massive MIMO, Spectrum Splitting, Beam Forming, Beam Tracking, Power Control",Deep Learning-Based Interference Avoidance and Management for B5g Mobile Networks
"artificial intelligence,hearing aids,noise reduction,deep learning,mobilenet",Deep Learning-Based Noise Reduction Model Design on Hearing Aids ??Application of Mobilenet and Signal Compression
"Deep learning, convolutional neural networks, generative adversarial networks, machine learning, support vector machine, sparse representation classification, leaf images, Lauraceae, Fagaceae","Identifying Species in Families Fagaceae and Lauraceae Using Leaf Images, Machine Learning, and Deep Learning"
"deep neural network, accelerator, 3D IC, 3D memory",Three Dimensional Reconfigurable Deep Learning Memory-Accelerator System Considering Power Density and Temperature Variation
"Deep Learning, DNA Variant Analysis, Parallel Computing, Distributed Computing, High-Performance Computing, Computing Clusters, Performance Analysis, Hardware Acceleration, heterogeneous Computing, GPGPU",High-Performance Deep Learning Model Training - a Case Study with Dna Variant Analysis
"Defect detection, deep learning, production line optimization",The Research of Automatic Surface Defect Detection for Industrial Applications Based on Deep Learning
"Chinese fonts, style transfer, deep learning",A Personalized Font and Handwriting Style Generation System
"Artificial Intelligence,Intelligent transport system,Deep Learning,Generative Adversarial Network, GAN,Traffic trajectory and event data generator",New generation transport deep learning intelligent system(2/4)
"multi-omics,pan-cancer,deep learning,autoencoder",Integration of LASSO regression and deep learning methods for constructing a multi-omics network of pan-cancer.
"feature selection,deep learning algorithm,predictive demand mode",Using deep learning algorithm to onstruct the predictive demand model of cardiovascular devices
"asthma,allergic diseases,air pollutant,machine learning,deep learning,black-box",Using the integrated health and air pollutant database to establish the interpretable and interactive model to predict the exacerbation in patients with allergic diseases
"chronic kidney disease,renal pathology,deep learning,computer vision",Pattern Recognition for Renal Pathology With Deep Learning
"Lung cancer,computed tomography,deep learning,convolutional neural networks",?�用人工?�能?�深度學習系統自?�偵?�早?�肺??
"Pediatric heart and breathing sounds,smart medical device,deep learning network,artificial intelligent.",Cardiac abnormal sound classification enhancement with deep spectrum learning technique
"Work-related Musculoskeletal Disorders,Deep Learning,Occupational Medicine;","Risk of Injury Classification in Work-related Repetitive Lifting and Carrying Operations with Deep
Learning Algorithms"
"deep learning,fundoscopy,diabetes",Prediction of diabetic complication from retinal fundus photographs via deep learning
"Face Alignment, 3D Face Reconstruction, Face Recognition, Deep Learning",Deep Learning Based 3d Face Reconstruction and Its Application to Face Recognition
"glioma, deep learning, computer vision, digital pathology",Automatic Histological Classification for Gliomas via Deep Learning
"Clinical Decision Support System ,CDSS,artificial intelligence,AI,data mining,machine learning,deep learning",The development and integration of medical decision support models in electronic medical record system
"Text Mining, Deep Learning, Cognitive Difference, Shared Decision Making, Doctor-Patient Communication",Proposing an Alternative Shared Decision-Making Model: Physician-Patient Cognitive Differences Examined with Deep Learning Technology
"Big Data, Monitor water quality, recursive neural network",The Study of Development on Deep Learning of Recursive Neural Network Monitoring Water Quality System
"deep learning,mesenchymal neoplasia,reagent spectrum",Pathological Image-Based Artificial Intelligence Tumor Mutation and Morphological Prediction
"Welding,Automation,Laser Triangulation,Deep Learning,Neural networks",A Laser-Based Smart  Vi Sion System for Welding Process Monitoring and Analysis
"deep learning,hypoxemia,spectra,NIR,heart rate",Deep Learning in the Development of Spectral Blood Oxygen Concentration Measurement Technology
"Image Recognition, Fingerprint on Display, Deep Learning, Fingerprint Recognition, Texture Inpainting, Optical Image Sensors",The Study of Intelligent Optical Based Fingerprint on Display System with Deep Learning Based Texture Inpainting and Recognition Techniques
"deep learning, defect inspection, front opening unified pod (FOUP), neural network, Python programming language",Development of Programs for Foup Defect Inspection Using Deep Learning
"deep learning, long-term bedridden, pressure ulcer, AI Smart Camera",Ai Smart Camera: Developing Deep Learning Prediction Model on Pressure Ulcer Changes in Long-Term Bedridden Patients( I )
"Autonomous Vehicle, Connected Vehicle, Radio Localization, Channel State Information, Deep Learning, Support Vector Machine, Long Short-Term Memory, Deep Convolutional Generative Adversarial Network, Sensor Fusion.",Deep Learning-Based High Precision Localization for Connected and Autonomous Vehicles
"Aggregate payment,Mobile payment, Deep learning, Recommendation system",Applying  Deep Neural Network  Technology to Contruct  Aggregate Payment System
"atmosphere precipitation products, regional drainage hydraulic model, surface two-dimensional inundation model, deep learning algorithm",Adaptability and Application Analysis of Meteorological Rainfall Products for Drainage and Inundation Models in Different Regional Characteristics
